,published_at,id,title,channel_name,group_number,published_at_max
44,2021-05-07 11:59:20+00:00,SpUy8RpRlhM,LIKE A TESLA? 2021 Ford Mustang Mach-E First Edition Review,TheStraightPipes,431,2021-05-08 12:30:01+00:00
45,2021-05-14 12:00:24+00:00,yhkBzAXoIvU,V8 RIVALS! 2021 Ford Mustang Mach 1 vs Lexus RCF Track Edition,TheStraightPipes,432,2021-05-19 17:58:25+00:00
46,2021-05-18 17:58:25+00:00,9lBMHgG5CAQ,Tesla Model 3 vs Ford Mustang Mach-e: Which Is BEST? | 4K,AutoTrader,432,2021-05-19 17:58:25+00:00
47,2021-07-15 12:00:12+00:00,XoXg6DZmJmA,RIP JEEP! 2021 Ford Bronco Review,TheStraightPipes,440,2021-07-16 12:00:12+00:00
48,2021-07-15 12:00:01+00:00,17hx8Cz5EXE,2021 Ford Bronco Wildtrak vs Jeep Wrangler Rubicon // OFF-ROAD TEST,Throttle House,440,2021-07-16 12:00:12+00:00
49,2021-11-15 13:00:09+00:00,LeIjjyaE7j4,"2022 Ford Maverick vs Hyundai Santa Cruz // The $40,000 Question",Throttle House,458,2021-11-16 13:00:09+00:00
50,2021-11-14 14:00:10+00:00,NLy_GgcBT_0,2021 Ford Ranger Tremor | The Lost Truck,savagegeese,458,2021-11-16 13:00:09+00:00
51,2022-01-05 13:00:34+00:00,lMuFUbcQtF8,2022 Ford F-150 Raptor Review // The Nissan GTR Of Trucks,Throttle House,465,2022-01-06 13:00:34+00:00
52,2021-12-31 14:00:00+00:00,aI4WaE5XR8U,Ford Mustang Mach-E GT Review: A REAL Mustang After All!? | 4K (Track Test!),AutoTrader,465,2022-01-06 13:00:34+00:00
53,2022-02-04 13:30:18+00:00,m36IloDM_R0,2022 Ford F150 Raptor | Earth Dominator,savagegeese,470,2022-02-06 13:41:56+00:00
54,2022-02-05 13:41:56+00:00,YkgA8pUrf_w,The 2022 Ford Maverick Hybrid is the BEST Small Truck,TheStraightPipes,470,2022-02-06 13:41:56+00:00
55,2022-07-18 10:00:03+00:00,8hBU2lsWMbQ,Ford Raptor R First Look | Everything&#39;s Better with 700HP,savagegeese,493,2022-07-19 10:00:03+00:00
56,2022-07-15 12:30:01+00:00,a7RWJu7RNWU,Ford F150 Lightning | The EV That Will Change Trucks,savagegeese,493,2022-07-19 10:00:03+00:00
57,2022-09-17 12:12:24+00:00,ClDx1kTsVpc,UNLIMITED Electric Range hack in the new F150 Lightning #ford #f150 #tesla,TheStraightPipes,502,2022-09-20 12:30:17+00:00
58,2022-09-19 12:30:17+00:00,bCuaJXYqUCs,"2022 Ford Explorer Timberline | How to Burn $50,000",savagegeese,502,2022-09-20 12:30:17+00:00
59,2022-11-18 13:01:31+00:00,b7KVutuuQbw,WHO BUYS THIS? 2023 Ford Mustang Ecoboost HIGH PERFORMANCE Pack Convertible Review,TheStraightPipes,511,2022-11-24 14:39:34+00:00
60,2022-11-23 14:39:34+00:00,XD5gxyksQrE,FORD vs GM vs DODGE #supercars #musclecars #america,TheStraightPipes,511,2022-11-24 14:39:34+00:00
61,2022-11-19 13:00:35+00:00,uTu5RRkTHsE,2023 Ford F-150 Raptor R vs Ram TRX // DRAG RACE &amp; OFF-ROAD RACE,Throttle House,511,2022-11-24 14:39:34+00:00
